sub,trial,partner,trait,ran,order,response,age
10881,4,3,1,1,3,0,62.0
10881,5,2,1,1,4,0,62.0
10881,6,1,1,1,5,0,62.0
10886,1,3,0,1,0,3,55.0
10886,2,2,0,1,1,0,55.0
10886,3,1,0,1,2,0,55.0
10886,4,3,1,1,3,-3,55.0
10886,5,2,1,1,4,0,55.0
10886,6,1,1,1,5,0,55.0
10887,1,3,0,1,0,5,35.0
10887,2,2,0,1,1,5,35.0
10887,3,1,0,1,2,5,35.0
10887,4,3,1,1,3,-1,35.0
10887,5,2,1,1,4,-1,35.0
10887,6,1,1,1,5,-1,35.0
10896,1,3,0,1,0,5,28.0
10896,2,2,0,1,1,5,28.0
10896,3,1,0,1,2,5,28.0
